os,channel,version,timestamp
win,beta,83.0.4103.44,2020-05-06 19:36:01.829321
win64,beta,83.0.4103.44,2020-05-06 19:36:01.263172
mac,beta,83.0.4103.44,2020-05-06 19:36:00.630939
cros,beta,83.0.4103.42,2020-05-06 19:22:02.489618
android,canary,84.0.4137.0,2020-05-06 13:38:02.830651
win,canary_asan,84.0.4137.0,2020-05-06 08:08:02.787170
win,canary,84.0.4137.0,2020-05-06 08:08:02.227316
win64,canary_asan,84.0.4137.1,2020-05-06 08:08:01.621981
win64,canary,84.0.4137.0,2020-05-06 07:38:00.856300
mac,canary,84.0.4137.0,2020-05-06 05:38:00.629228
cros,dev,84.0.4133.0,2020-05-05 23:09:34.594154
ios,dev,84.0.4136.1,2020-05-05 21:23:03.885027
linux,stable,81.0.4044.138,2020-05-05 18:53:03.527141
win,stable,81.0.4044.138,2020-05-05 18:53:01.825258
win64,stable,81.0.4044.138,2020-05-05 18:53:01.042404
android,canary,84.0.4136.1,2020-05-05 13:39:02.561019
win64,canary_asan,84.0.4136.2,2020-05-05 09:10:00.981659
mac,canary,84.0.4136.1,2020-05-05 06:56:00.739318
win64,canary,84.0.4136.1,2020-05-05 06:41:01.749157
win,canary_asan,84.0.4136.1,2020-05-05 06:26:02.135126
win,canary,84.0.4136.1,2020-05-05 06:26:01.696687
android,canary,84.0.4135.1,2020-05-04 15:27:02.946658
win64,canary_asan,84.0.4135.2,2020-05-04 08:28:01.199124
win64,canary,84.0.4135.1,2020-05-04 05:43:02.033014
mac,canary,84.0.4135.1,2020-05-04 05:43:01.526546
win,canary_asan,84.0.4135.1,2020-05-04 05:28:02.130086
win,canary,84.0.4135.1,2020-05-04 05:28:01.570910
android,canary,84.0.4134.0,2020-05-03 08:29:03.740125
win64,canary_asan,84.0.4134.1,2020-05-03 08:14:01.187206
win,canary_asan,84.0.4134.0,2020-05-03 05:29:02.450049
win,canary,84.0.4134.0,2020-05-03 05:29:02.063392
mac,canary,84.0.4134.0,2020-05-03 05:14:01.143560
win64,canary,84.0.4134.0,2020-05-03 04:59:01.489381
android,canary,84.0.4133.0,2020-05-02 08:59:02.879418
win64,canary_asan,84.0.4133.1,2020-05-02 07:59:01.747651
win,canary_asan,84.0.4133.0,2020-05-02 05:29:03.086901
win,canary,84.0.4133.0,2020-05-02 05:29:02.701223
mac,canary,84.0.4133.0,2020-05-02 05:29:01.752346
win64,canary,84.0.4133.0,2020-05-02 05:14:01.849421
android,canary,84.0.4132.2,2020-05-01 18:59:04.192457
win,canary_asan,84.0.4132.2,2020-05-01 15:59:01.584979
mac,canary,84.0.4132.2,2020-05-01 15:14:01.155068
win,canary,84.0.4132.2,2020-05-01 14:59:02.621960
win64,canary,84.0.4132.2,2020-05-01 14:59:01.896298
win,canary_asan,84.0.4132.1,2020-05-01 08:14:02.752136
win64,canary_asan,84.0.4132.1,2020-05-01 08:14:02.078379
win,canary,84.0.4132.0,2020-05-01 05:30:02.961042
win64,canary,84.0.4132.0,2020-05-01 05:30:02.109796
mac,canary,84.0.4132.0,2020-05-01 05:30:01.420801
cros,dev,84.0.4129.0,2020-05-01 02:46:36.542645
android,canary,84.0.4131.5,2020-04-30 21:32:03.648297
win,canary_asan,84.0.4131.4,2020-04-30 19:18:02.771742
win64,canary_asan,84.0.4131.4,2020-04-30 19:18:02.115704
ios,beta,83.0.4103.34,2020-04-30 12:49:03.317352
android,canary,84.0.4131.0,2020-04-30 08:34:05.160976
win,canary,84.0.4131.0,2020-04-30 05:34:01.615952
win64,canary,84.0.4131.0,2020-04-30 05:19:01.884565
mac,canary,84.0.4131.0,2020-04-30 05:19:01.231332
webview,beta,83.0.4103.34,2020-04-29 22:05:33.871307
android,beta,83.0.4103.34,2020-04-29 22:04:02.136225
mac,canary,84.0.4130.3,2020-04-29 20:04:00.671646
cros,beta,83.0.4103.31,2020-04-29 19:34:56.487523
win,canary,84.0.4130.3,2020-04-29 19:34:02.282524
win64,canary,84.0.4130.3,2020-04-29 19:34:01.559653
linux,beta,83.0.4103.34,2020-04-29 17:34:06.363345
win,beta,83.0.4103.34,2020-04-29 17:19:03.289821
win64,beta,83.0.4103.34,2020-04-29 17:19:02.178281
mac,beta,83.0.4103.34,2020-04-29 17:19:00.969726
webview,dev,84.0.4128.0,2020-04-29 17:05:25.338573
android,canary,84.0.4130.1,2020-04-29 10:35:02.769226
win,canary_asan,84.0.4130.2,2020-04-29 09:05:01.992866
win64,canary_asan,84.0.4130.2,2020-04-29 09:05:01.402417
mac,canary,84.0.4130.1,2020-04-29 06:21:01.500688
win,canary,84.0.4130.1,2020-04-29 06:06:01.580109
win64,canary,84.0.4130.1,2020-04-29 05:51:01.004214
android,canary,84.0.4129.2,2020-04-29 00:37:02.487239
android,dev,84.0.4128.0,2020-04-28 23:07:02.821202
ios,dev,84.0.4129.0,2020-04-28 21:37:06.558971
linux,dev,84.0.4128.3,2020-04-28 17:07:04.456673
win,dev,84.0.4128.3,2020-04-28 16:52:02.850896
win64,dev,84.0.4128.3,2020-04-28 16:52:02.009130
mac,dev,84.0.4128.3,2020-04-28 16:52:01.382896
android,canary,84.0.4129.0,2020-04-28 09:10:02.452111
win,canary_asan,84.0.4129.1,2020-04-28 08:10:02.194358
win64,canary_asan,84.0.4129.1,2020-04-28 08:10:01.418553
win64,canary,84.0.4129.0,2020-04-28 05:40:01.872484
mac,canary,84.0.4129.0,2020-04-28 05:40:01.212417
win,canary,84.0.4129.0,2020-04-28 05:25:01.322997
linux,stable,81.0.4044.129,2020-04-27 22:25:04.454090
win,stable,81.0.4044.129,2020-04-27 22:25:02.748941
win64,stable,81.0.4044.129,2020-04-27 22:25:01.968376
mac,stable,81.0.4044.129,2020-04-27 22:25:01.160441
mac,canary,84.0.4128.3,2020-04-27 20:10:00.639473
win,canary,84.0.4128.3,2020-04-27 19:55:01.952070
win64,canary,84.0.4128.3,2020-04-27 19:40:01.460322
cros,dev,84.0.4118.0,2020-04-27 18:26:33.414423
android,canary,84.0.4128.0,2020-04-27 09:12:03.583825
win,canary,84.0.4128.2,2020-04-27 08:42:01.953959
win64,canary,84.0.4128.2,2020-04-27 08:27:01.572751
win,canary_asan,84.0.4128.1,2020-04-27 08:12:01.875687
win64,canary_asan,84.0.4128.1,2020-04-27 08:12:01.142359
mac,canary,84.0.4128.2,2020-04-27 06:27:00.894642
mac,canary,84.0.4128.0,2020-04-27 05:27:01.089545
win64,canary,84.0.4128.0,2020-04-27 04:57:01.883256
android,canary,84.0.4127.0,2020-04-26 08:57:03.089542
win,canary_asan,84.0.4127.1,2020-04-26 08:27:02.854709
win64,canary_asan,84.0.4127.1,2020-04-26 08:27:02.042373
